SampleID Sphingobacteriales Thermotogales Chromatiales Herpetosiphonales Entomoplasmatales Fusobacteriales Methylophilales Bifidobacteriales Puniceicoccales Desulfovibrionales Rhizobiales Fibrobacterales Acidobacteriales Chroococcales Flavobacteriales Methylococcales Solibacterales Oceanospirillales Gallionellales Clostridiales Methanosarcinales Desulfurellales Alteromonadales Halanaerobiales Pasteurellales Methanocellales Thiotrichales Xanthomonadales Thermoanaerobacterales Acidimicrobiales Mariprofundales Actinomycetales Bdellovibrionales Rubrobacterales Gloeobacterales Dictyoglomales Archaeoglobales Methanococcales Desulfobacterales Cytophagales Myxococcales Desulfurococcales Methanomicrobiales Sphaerobacterales Burkholderiales Prochlorales Campylobacterales Halobacteriales Sulfolobales Coriobacteriales Pseudomonadales Chlorobiales Spirochaetales unclassified Nitrospirales Thermoplasmatales Selenomonadales Aquificales Methylacidiphilales Neisseriales Thermococcales Methanobacteriales Solirubrobacterales Rhodobacterales Methanopyrales Thermomicrobiales Lactobacillales Anaerolineales Lentisphaerales Caulobacterales Bacteroidetes_Order_II__Incertae_sedis Vibrionales Parvularculales Nitrosopumilales Nautiliales Deinococcales Thermodesulfobacteriales Bacteroidales Deferribacterales Planctomycetales Salinisphaerales Bacillales Erysipelotrichales Natranaerobiales Rhodocyclales Rickettsiales Verrucomicrobiales Chrysiogenales Acidilobales Acidithiobacillales Legionellales Gemmatimonadales Ktedonobacterales Cardiobacteriales Elusimicrobiales Thermoproteales Sphingomonadales Hydrogenophilales Desulfuromonadales Synergistales Mycoplasmatales Enterobacteriales Rhodospirillales Acholeplasmatales Haloplasmatales Oscillatoriales Thermales Nostocales Syntrophobacterales Nitrosomonadales Aeromonadales Chlamydiales Desulfarculales Chloroflexales
x30MCx2480 0 0 0 0 0 0 0 0 0 428803637.825477 0 0 0 0 0 0 0 0 0 19439532040.337 0 0 0 0 4446370.54902492 0 0 0 0 0 0 4121026.3625109 0 0 0 0 0 0 0 0 0 0 0 0 2168961.24342679 0 0 0 0 508729859.645754 2385857.36776947 0 0 39621282618.1746 0 0 3397894683.95241 0 0 0 0 0 0 0 0 0 62249187.6863489 0 0 0 0 0 0 0 0 0 0 6051944109.47161 0 0 0 4229474.42468224 93916021.84038007 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1952065.11908411 0 0 0 0 0 0 0 0 0 0 0 0
x20MCx2346 0 0 0 0 0 0 0 615008826.1594809 0 1169503646.85309 0 0 0 0 0 0 0 0 0 17383352982.3233 0 0 0 0 0 0 0 0 0 0 0 1192928.42316246 0 0 0 0 0 0 0 0 0 0 0 0 161262233.20387 0 0 0 0 671727150.278933 0 0 0 48110044169.8726 0 0 4206048723.99389 0 0 0 0 11170147.9623394 0 0 0 0 22231847.8862094 0 0 0 0 0 0 0 0 0 0 42312628929.38 0 0 0 0 93590657.1990182 0 0 0 1952064.69244766 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33185099.7716102 0 0 0 0 0 0 0 0 0 0 0 0
x10MCx3391 0 0 0 0 0 0 0 379025894.31874 0 552000515.617278 0 0 0 0 0 0 0 0 0 7504604259.47262 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 681812817.620005 0 0 0 0 154430006.72672 0 0 0 36845980193.4341 0 0 14269701344.8796 0 0 0 0 0 0 0 0 0 55416947.6385911 0 0 0 0 0 0 0 0 0 0 61950291265.8696 0 0 0 2494304.88392876 25268392.9545827 0 0 0 19303750.84084 0 0 0 0 0 0 0 0 0 0 0 0 34920268.3750026 0 1036654799.36848 0 0 0 0 0 0 0 0 0 0 0 0
x30MCx3128 0 0 0 0 0 0 0 336731037.59712404 0 237609566.304444 0 0 0 0 1367095478.24455 0 0 0 0 11627577581.0269 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 93048383.3360167 0 0 0 0 606983451.668631 0 0 0 84344238470.1286 0 0 0 0 0 0 0 35354047.7477173 0 0 0 0 2928095.97910542 0 0 0 0 0 0 0 0 0 0 62797898431.8809 0 0 0 24726143.823556896 54549343.610741705 0 0 0 2322413903.4275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15799138319.259 0 0 0 0 0 0 0 0 4880159.9651757 0 0 0
x30MCx2116 0 0 0 0 0 0 0 51729708.181701705 0 929724922.938635 0 0 0 0 482702161.670345 0 0 0 0 10174051515.8624 0 0 0 0 318186506.928958 0 0 0 0 0 0 2385856.56183949 0 0 0 0 0 0 0 0 0 0 0 0 264287838.23649305 0 0 0 0 38390601.0405082 0 0 0 78006230977.4955 0 0 1079600094.23237 0 0 0 0 216462258.974165 0 0 0 0 75805169.851173 0 0 0 0 0 0 0 0 0 0 20146281256.1982 0 0 0 0 53898668.692464896 0 0 0 7960735762.654079 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6289985.48121321 0 0 0 0 0 0 0 0 0 0 0 0
x13MCx2331 0 0 0 0 0 0 0 2404942208.90658 0 0 0 0 0 0 0 0 0 0 0 24521279211.6737 0 0 0 0 48367795.146660104 0 0 0 0 0 0 8350493.78092562 0 0 0 0 0 0 0 0 0 0 0 0 3470335.07778727 0 0 0 0 57043632.8411282 0 0 0 56543687693.9845 0 0 23641657.7174258 0 0 0 0 0 0 0 0 0 142392186.160459 0 0 0 0 0 0 0 0 0 0 55710698827.3444 0 0 0 0 82095114.1839051 0 0 0 7632459763.7372 0 0 0 0 0 0 0 0 0 0 0 0 0 0 205292009.445353 0 0 0 0 0 0 0 0 0 0 0 0
x10MCx2332 0 0 0 0 0 0 0 515344843.019016 0 1125256332.31593 0 0 0 0 0 0 0 0 0 13408617789.5021 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21038909.8370558 0 0 0 19594816417.5185 0 0 0 0 0 0 0 0 0 0 0 0 28088029.112358 0 0 0 0 0 0 0 0 0 0 74343373764.9914 0 0 0 0 329248094.151038 0 0 0 10457639564.8829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2269599510.66961 0 0 0 0 0 0 0 0 0 0 0 0
x20MCx2465 0 0 0 0 0 0 0 484870984.769588 0 297364401.75312203 0 0 0 0 1427500955.60771 0 0 0 0 45314669284.9514 0 0 0 0 4446367.78697229 0 0 0 0 0 0 5747743.72462271 0 0 0 0 0 0 0 0 0 0 0 0 1626177682.08901 0 0 0 0 464591209.74120194 0 0 0 36936085654.3736 0 0 5313951.7454059 0 0 0 0 0 0 0 0 0 153020120.668729 0 0 0 0 0 0 0 0 0 0 41963843141.4912 0 0 0 0 11820831.433658 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 128077081.863763 0 0 0 0 0 0 0 0 0 0 0 0
x14MCx1583 0 0 0 0 0 0 0 458084119.440587 0 406354449.702623 0 0 0 0 0 0 0 0 0 39185821290.2049 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38607468.399822205 0 0 0 0 198351291.301334 0 0 0 92984569369.7426 0 0 3029818685.8265 0 0 0 0 0 0 0 0 0 595921457.4635481 0 0 0 0 0 0 0 0 0 0 23148539191.9867 0 0 0 0 110616903.84218702 0 0 0 384556412.769016 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9218075.32018227 0 0 0 0 0 0 0 0 0 0 0 0
x20MCx2299 0 0 0 0 0 0 0 5097060.39425939 0 22774099.633924898 0 0 0 0 88276748.10483292 0 0 0 0 1613707631.20383 0 0 0 0 4880164.20726963 0 0 0 0 0 0 2602754.24387714 0 0 0 0 0 0 0 0 0 0 0 0 27654263.841194604 0 0 0 0 33402012.796423305 0 0 0 17238149805.2918 0 0 36547007.5077748 0 0 0 0 0 0 0 0 0 17460143.0526758 0 0 0 0 0 0 0 0 0 0 20943821160.0119 0 0 0 0 82095206.7756247 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27762711.934689503 0 0 0 0 0 0 0 0 0 0 0 0
x10MCx1225 0 0 0 0 0 0 0 1065392853.20262 0 743193935.565711 0 0 0 0 0 0 0 0 0 34987809291.4076 0 0 0 0 9651869.29306119 0 0 0 0 0 0 27545784.2745791 0 0 0 0 0 0 0 0 0 0 0 0 4325013475.017679 0 0 0 0 17351675.1335931 0 0 0 66154888166.3677 0 0 13440824454.4204 0 0 0 0 0 0 0 0 0 6398430.20551247 0 0 0 0 0 0 0 0 0 0 50459647320.2151 0 0 0 0 132414970.863233 0 0 0 3048472425.03315 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
x12MCx2291 0 0 0 0 0 0 0 493329857.739913 0 460361672.03911394 0 0 0 0 0 0 0 0 0 30181723321.2056 0 0 0 0 234572979.180354 0 0 0 0 0 0 19520636.2702098 0 0 0 0 0 0 0 0 0 0 0 0 650254083.7565429 0 0 0 0 238151762.496559 0 0 0 63713946962.2341 0 0 164949376.483273 0 0 0 0 0 0 0 0 0 981345764.495157 0 0 0 0 0 0 0 0 0 0 35823620995.2133 0 0 0 0 114195722.180727 0 0 0 4415459476.342171 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8567390.36303651 0 0 0 0 0 0 0 0 0 0 0 0
x10MCx3300 0 0 0 0 0 195857388.49028105 0 88059911.1041574 0 784405587.458584 0 0 0 0 0 0 0 0 0 4287389809.84207 0 0 0 0 1952066.99491975 0 0 0 0 0 0 1843618.82853532 0 0 0 0 0 0 0 0 0 0 0 0 130680040.493239 0 0 0 0 138488308.472918 0 0 0 13377732012.5178 0 0 7699819.81329455 0 0 0 0 0 0 0 0 0 139030549.30484 0 0 0 0 0 0 0 0 0 0 25142297550.0672 0 0 0 4446374.82176164 58453561.681207895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86107844.1092377 0 0 0 0 0 0 0 0 0 0 0 0
x20MCx1703 0 0 0 0 0 0 0 271119977.907221 0 411343230.480835 0 0 0 0 0 0 0 0 0 9867791163.90237 0 0 0 0 12146175.0102435 0 0 0 0 0 0 650687.94697733 0 0 0 0 0 0 0 0 0 0 0 0 2168959.82325777 0 0 0 0 37306108.9600336 1192927.90279177 0 0 15017444024.2721 0 0 2384988221.6542397 0 0 0 0 0 0 0 0 0 13772894.8776868 0 0 0 0 0 0 0 0 0 0 23984140829.602 0 0 0 0 57368987.325167894 0 0 0 76130489.79634759 0 0 0 0 0 0 0 0 0 0 0 0 4337919.64651553 0 62682938.8921494 0 0 0 0 0 0 0 0 0 0 0 0
x20MCx2617 0 0 0 0 0 0 0 254635775.703725 0 134692348.136298 0 0 0 0 0 0 0 0 0 7240960863.69763 0 0 0 0 1518271.23503073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 260383516.80777 0 759135.617515365 0 0 130896670.048721 1626719.18039007 0 0 27815162817.5444 0 0 1332499904.63018 0 0 0 0 2819646.57934279 0 0 0 0 10302554.8091371 0 0 0 0 0 0 0 0 0 0 10905200041.4989 0 0 0 0 5097053.43188888 0 0 0 778222455.898609 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1626719.18039007 0 0 0 0 0 0 0 0 0 0 0 0
x30MCx3369 0 0 0 0 0 0 0 61923800.38415171 0 61056216.4908537 0 0 0 0 8675838.93298098 0 0 0 0 12811177560.3864 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 470447366.14089406 0 0 0 0 203123079.018417 0 0 0 42751172374.1437 0 0 2822141956.91205 0 0 0 0 0 0 0 0 0 27220444.6522278 0 0 0 0 0 0 0 0 0 0 47966327604.7453 0 0 0 0 760979522.4090941 0 0 0 35679387.611884296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31124572.1720693 0 0 0 0 0 0 0 0 0 0 0 0
x11MCx1752 0 0 0 0 0 4380758251.5727 0 13230659.9007766 0 311462747.828117 0 0 0 0 0 0 0 0 0 6801209877.1909895 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 459602759.504025 0 0 0 0 12363075.6449879 0 0 0 23409158389.6887 0 0 2240427892.54215 0 0 0 0 0 0 0 0 0 34703370.2315451 0 0 0 0 0 0 0 0 0 0 42369019371.5975 0 0 0 0 213534174.955976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 88927386.2183342 0 1437695559.8737302 0 0 0 0 0 0 0 0 580847659.250486 0 0 0
x13MCx2240 0 0 0 0 0 0 0 0 0 438997563.630412 0 0 0 0 0 0 0 0 0 12991746820.7096 0 0 0 0 0 0 0 0 0 0 0 5747744.78073415 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 620214196.245634 0 0 0 78580346993.8143 0 0 0 0 0 0 0 13772897.870815802 0 0 0 0 23750115.2260524 0 0 0 0 0 0 0 0 0 0 55069142744.2139 0 0 0 0 189241785.705304 0 0 0 4714994336.45242 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4913020411.350929 0 0 0 0 0 0 0 0 0 0 0 0
x10MCx3074 0 0 0 0 0 0 0 37523019.327585496 0 163539633.369939 0 0 0 0 104652351.592832 0 0 0 0 2269600429.15523 0 0 0 0 6398433.931582499 0 0 0 0 0 0 2168960.65477373 0 0 0 0 0 0 0 0 0 0 0 0 523044861.898685 0 0 0 0 41535596.5389169 0 0 0 22247137884.0469 0 0 13013763.9286424 0 0 0 0 0 0 0 0 0 16158756.8780643 0 0 0 0 0 0 0 0 0 0 9714991668.797009 0 0 0 0 61815378.661051296 0 0 0 1084480.32738686 0 0 0 0 0 0 0 0 0 0 0 0 0 0 280771956.760459 0 0 0 0 433792.1309547461 0 0 0 0 0 0 0
x30MCx1139 0 0 0 0 0 0 0 20388324.6277698 0 7916743.07354893 0 0 0 0 0 0 0 0 0 3090132563.53018 0 0 0 0 2602764.84609828 0 0 0 0 0 0 650691.211524569 0 0 0 0 0 0 0 0 0 0 0 0 69190165.49211259 0 0 0 0 11170199.1311718 976036.817286854 0 0 12361397842.4028 0 0 225789850.399026 0 0 0 0 7374500.39727846 0 0 0 0 19846081.9514994 0 0 0 0 0 0 0 0 0 0 3456363267.08326 0 0 0 0 24292471.896917302 0 0 0 26569891.137253303 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41535789.0023184 0 0 0 0 0 0 0 0 0 0 0 0
x30MCx2954 0 0 0 0 0 0 0 604489078.054792 0 50536761.818000205 0 0 0 0 241622114.443143 0 0 0 0 2853808770.90274 0 0 0 0 303003674.934533 0 0 0 0 0 0 7049119.13770389 0 0 0 0 0 0 0 0 0 0 0 0 109207122.641043 0 1192927.85407297 0 0 45873498.3884422 1084479.86733906 0 0 52214343724.787 0 0 665653742.572715 0 0 0 0 0 0 0 0 0 607742517.656809 0 0 0 0 0 0 0 0 0 0 4239014905.45492 0 0 0 0 3036543.62854937 0 0 0 688970059.720505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7049119.13770389 0 0 0 0 0 0 0 0 0 0 0 0
x20MCx2867 0 0 0 0 0 433793.665234651 0 1409829.41201261 0 0 0 0 0 0 0 0 0 0 0 2067569056.92465 0 0 0 0 154538993.239844 0 0 0 0 0 0 542242.081543313 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26136068.330387697 1735174.6609386 0 0 14222033763.1343 0 0 422081236.273315 0 0 0 0 0 0 0 0 0 17677091.858312 0 0 0 0 0 0 0 0 0 0 1687132012.51386 0 0 0 0 3361900.90556854 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
x20MCx2969 0 0 0 0 0 0 0 47825605.7480802 0 140657167.01873 0 0 0 0 0 0 0 0 0 7876259112.6209 0 0 0 0 0 0 0 0 0 0 0 1192928.94156209 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16267212.839482998 0 0 0 38432157917.9635 0 0 1228066121.29537 0 0 0 0 0 0 0 0 0 2819650.2255104 0 0 0 0 0 0 0 0 0 0 13021578533.7494 0 0 0 0 10953256.6452519 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17677037.9522382 0 0 0 0 0 0 0 0 0 0 0 0
