SampleID Synergistetes Bacteroidetes Tenericutes unclassified Chlorobi Deferribacteres Planctomycetes Aquificae Verrucomicrobia Thermotogae Thermodesulfobacteria Proteobacteria Chlamydiae Cyanobacteria Elusimicrobia Euryarchaeota Nanoarchaeota Actinobacteria Fusobacteria Dictyoglomi Lentisphaerae Chloroflexi Acidobacteria Fibrobacteres Deinococcus_Thermus Chrysiogenetes Nitrospirae Firmicutes Korarchaeota Gemmatimonadetes Crenarchaeota Thaumarchaeota Spirochaetes
x20MCx2969 0 13021578533.7494 0 38389646268.4096 0 0 0 0 0 0 0 158334204.970968 0 0 0 0 0 65285747.529125296 0 0 42511649.553849 0 0 0 0 0 0 9118098140.78704 0 0 0 0 0
x20MCx1661 0 26900311127.8761 0 36965804407.4941 0 0 0 0 0 0 0 1400931348.56924 0 0 0 0 0 1324367055.94733 0 0 0 0 0 0 0 0 0 20543088984.1132 0 0 0 0 0
x10MCx1412 0 59742144471.2092 0 13246052265.186 0 0 0 0 410367128.190661 0 0 86541482.1078613 0 0 0 0 0 67996878.7990339 0 0 0 0 0 0 0 0 0 7243999223.507279 0 0 0 0 0
x30MCx1116 0 3648846016.94537 0 28171030303.5075 0 0 0 0 234898664.70616603 0 0 730831995.1315111 0 0 0 37631503.533259295 0 56393031.2313972 1409825.78078493 0 9977228.60247797 0 0 0 0 0 0 6269820591.56154 0 0 0 0 0
x12MCx2987 0 25862997042.5601 0 97831346821.709 0 0 0 0 0 0 0 632577004.437436 0 0 0 278602832.916128 0 843291408.624293 0 0 0 0 0 0 0 0 0 44551184889.7531 0 0 0 0 0
x10MCx3421 0 71084943429.9879 0 95764126192.9187 0 0 0 0 58128120.3378825 0 0 2482265944.80185 0 0 0 0 0 668581831.871354 0 0 21689597.141000897 0 0 0 0 0 0 35239413818.9413 0 0 0 0 0
x13MCx2129 0 59526131835.7267 0 31750972004.1624 0 0 0 0 0 0 0 389436772.36845696 0 0 0 0 0 482593605.4134309 0 0 0 0 0 0 0 0 0 13758038778.329 0 0 0 0 0
x20MCx1511 0 88423509301.7007 0 20181304921.509 0 0 0 0 5205503.92403991 0 0 368831642.617911 0 0 0 0 0 2434223772.4791603 0 0 0 0 0 0 0 0 0 16051713589.7691 0 0 0 0 0
x30MCx1217 3253438.36080276 30081507979.8731 0 100964711786.41 0 0 0 0 3688965309.36889 0 0 45222793.215158395 0 0 0 778330903.849381 0 153996082.411331 0 0 0 0 0 0 0 0 0 24505006181.5118 0 0 0 0 0
x20MCx2175 0 45286266478.5771 0 14635385658.2095 0 0 0 0 215052423.882607 0 0 382170822.875596 0 0 0 0 0 285435188.935462 0 0 0 0 0 0 0 0 0 4656215743.51978 0 0 0 0 0
x30MCx1451 0 7646786843.01714 0 34556132422.3549 0 0 0 0 926472465.2876211 0 0 770632487.221565 0 0 0 0 0 482594225.743874 1952066.53109881 0 9543436.37426087 0 0 0 0 0 0 7050972758.46953 0 0 0 0 0
x30MCx2565 0 12297239275.231 0 66314299456.0039 0 0 0 0 13614773514.1592 0 0 940243793.851941 0 0 0 0 0 545059435.7439281 6940669.29717696 0 0 0 0 0 0 0 0 17539722001.7128 0 0 0 0 0
x11MCx1404 0 41580464253.0776 0 33862982424.9707 0 0 0 0 5886663450.26865 0 0 29404253199.379 0 0 0 194121839.612035 0 49235371.6110972 0 0 0 0 0 0 0 0 0 12496457865.0809 0 0 0 0 0
x30MCx2640 0 24696765231.3883 0 59284100771.6431 0 0 0 0 3922891193.985 0 0 1691030392.49739 0 0 0 108339598.672795 0 426959959.934729 0 0 0 0 0 0 0 0 0 18753161582.8786 0 0 0 0 0
x20MCx2591 0 19011168886.3814 0 31828758314.0565 0 0 0 0 0 0 0 491052998.354467 0 0 0 0 0 1226005774.3810198 20496690.964883897 0 0 0 0 0 0 0 0 14203339253.8618 0 0 0 0 0
x30MCx1832 0 47293844003.5324 0 78601586390.056 0 0 0 0 0 0 0 8567391.37457735 0 0 0 0 0 821818884.006926 0 0 0 0 0 0 0 0 0 30821353142.0301 0 0 0 0 0
x30MCx2354 0 15391944814.6554 0 13177215640.1745 0 0 0 0 12037750.3852401 0 0 92614764.2251807 0 0 0 0 0 168311608.990024 0 0 0 0 0 0 0 0 0 5248784512.5697 0 0 0 0 0
x20MCx1263 0 11201709254.6988 0 40056703250.4606 0 0 0 0 1331525362.60848 0 0 283483246.282665 0 0 0 75479854.40425971 0 1517839141.1523302 0 0 0 0 0 0 0 0 0 15230229587.3928 0 0 0 0 0
x20MCx3324 0 32113625755.4489 0 65616253667.7118 0 0 0 0 3514366325.2434 0 0 1284783615.84764 0 0 0 0 0 950113046.209265 0 0 25376835.1572843 0 0 0 0 0 0 21495480754.3817 0 0 0 0 0
x10MCx2722 0 32845320518.1959 0 80464945914.3609 0 0 0 0 0 0 0 6156592979.1558 0 0 0 0 0 189133312.588475 0 0 0 0 0 0 0 0 0 16294420498.6989 0 0 0 0 0
x10MCx1330 0 46734454295.0386 0 46099383056.7619 0 0 0 0 3511219515.31531 0 0 3636260010.146779 0 0 0 0 0 274264884.153332 0 0 0 0 0 0 0 0 0 12719101782.5841 0 0 0 0 0
x13MCx1381 0 59587165725.9948 0 129313565077.345 0 0 0 0 1253875320.08858 0 0 1234788479.02859 0 0 0 0 0 1652421575.17642 0 0 12471515.4653336 0 0 0 0 0 0 35517140877.901 0 0 0 0 0
x12MCx2530 0 5606437817.60539 0 24422387954.5605 0 0 0 0 976032.271861974 0 0 504500236.522434 0 0 0 0 0 50536782.0764089 0 0 0 0 0 0 0 0 0 4929179868.96338 0 0 0 0 0
x11MCx1874 0 8723661660.049341 0 125090374043.094 0 0 0 0 57260518.3489272 0 0 562085732.201685 0 0 0 214726943.808477 0 2105300080.88584 0 0 130245989.653526 0 0 0 0 0 0 48500960416.9584 0 0 0 0 0
x30MCx2662 0 18548742085.5952 0 56762265410.6745 0 0 0 0 0 0 0 660123440.84366 0 0 0 37956826.7283195 0 141850083.887548 0 0 16375659.5313607 0 0 0 0 0 0 11384553712.7394 0 0 0 0 0
x13MCx2273 0 9969732395.27868 0 43798999164.7387 0 0 0 0 2567180877.62601 0 0 990997755.14306 0 0 0 0 0 208762385.49468 0 0 4988607.65337938 0 0 0 0 0 0 5770300783.06543 0 0 0 0 0
x30MCx1674 0 29334873359.1824 0 36948902807.4751 0 0 0 0 0 0 0 252900862.75860095 0 0 0 0 0 73636228.9078432 0 0 0 0 0 0 0 0 0 17957587976.676003 0 0 0 0 0
x20MCx1257 0 17909880931.9752 0 17710119503.2075 0 0 0 0 0 0 0 588222578.521156 0 0 0 0 0 437696594.194577 0 0 0 0 0 0 0 0 0 12255179293.1016 0 0 0 0 0
x30MCx1966 0 48482967729.0026 0 103381500647.872 0 0 0 0 740699655.95172 0 0 1286192960.40811 0 0 0 0 0 1418824831.45188 0 0 0 0 0 0 0 0 0 27284750884.3135 0 0 0 0 0
x13MCx1553 0 15687757775.1808 0 45819375127.1745 0 0 0 0 656218657.221007 0 0 1228281690.90814 0 0 0 0 0 419259846.110794 0 0 0 0 0 0 0 0 0 7727568441.40474 0 0 0 0 0
x10MCx1396 0 18010709828.3085 0 61666105875.0586 0 0 0 0 0 0 0 1904129067.63393 0 0 0 0 0 591258211.4557589 4337917.9123680005 0 24292340.3092608 0 0 0 0 0 0 38253712214.3216 0 0 0 0 0
x30MCx3070 0 50335066163.6346 0 26456763198.9227 0 0 0 0 0 0 0 1277300834.39326 0 0 0 0 0 377182229.75206 0 0 17785476.0435129 0 0 0 0 0 0 12585284813.2538 0 0 0 0 0
x30MCx2632 0 11108108872.878 0 63446618416.9007 0 0 0 0 165491605.22525 0 0 2204855718.10914 0 0 0 0 0 665002964.116141 0 0 0 0 0 0 0 0 0 21399821412.7707 0 0 0 0 0
x20MCx1815 0 126158931220.277 0 51103176914.9082 0 0 0 0 0 0 0 715322798.188405 0 0 0 0 0 375338417.90935 0 0 0 0 0 0 0 0 0 14504373505.7168 0 0 0 0 0
x30MCx1838 0 19074693837.3947 0 45113373078.9573 0 0 0 0 40234191.153878704 0 0 1667495749.81682 0 0 0 36872304.5615061 0 446588677.012595 0 0 0 0 0 0 0 0 0 12975580871.1032 0 0 0 0 0
x10MCx3322 0 43535158084.122 0 34481700097.6367 0 0 0 0 1735168.39299207 0 0 213208816.288901 0 0 0 0 0 106821304.193574 0 0 0 0 0 0 0 0 0 11565222683.3658 0 0 0 0 0
x20MCx1232 0 28278886839.4357 0 128235902464.309 0 0 0 0 0 0 0 1681485428.92104 0 0 0 49452264.146275 0 221884500.972102 0 0 40125740.6450039 0 0 0 0 0 0 16384966624.5704 0 0 0 0 0
x30MCx2785 0 3032530374.7444897 0 37048209837.3194 0 0 0 0 2456021006.21673 0 0 363734466.147875 0 0 0 3361886.83678715 0 366120321.322369 0 0 433791.84990802 0 0 0 0 0 0 1238258835.5624402 0 0 0 0 0
x30MCx1592 0 17501776164.948997 0 22440065459.0991 0 0 0 0 24943045.8901642 0 0 1185011575.83402 0 0 0 12146178.8682539 0 895238451.405677 0 0 0 0 0 0 0 0 0 7194550466.95385 0 0 0 0 0
x20MCx2556 0 40187133128.2368 0 22138027830.7579 0 0 0 0 0 0 0 19061358716.893997 0 0 0 0 0 461012351.18206906 0 0 0 0 0 0 0 0 0 12571072623.9292 0 0 0 0 0
x20MCx2536 0 47446535980.0411 0 124126310983.133 0 0 0 0 18355580714.2177 0 0 1808153265.43748 0 0 0 0 0 526298074.561752 0 0 0 0 0 0 0 0 0 41500007580.6089 0 0 0 0 0
x20MCx1367 0 24625724552.2231 0 45329209746.8788 0 0 0 0 1156598079.69851 0 0 1102157176.18152 0 0 0 0 0 345190031.662481 5097056.70378152 0 0 0 0 0 0 0 0 19465008863.6518 0 0 0 0 0
x20MCx3241 0 56237996851.9131 0 69211633178.2683 0 0 0 0 3437802152.85013 0 0 773776604.434879 0 0 0 0 0 654700681.285686 0 0 0 0 0 0 0 0 0 13837316337.2479 0 0 0 0 0
x13MCx3311 0 22312096136.8463 0 46514549752.8477 0 0 0 0 0 0 0 529768589.620367 0 0 0 1409824.29172257 0 537034607.12386 6073089.25665108 0 0 0 0 0 0 0 0 23777228920.0134 0 0 0 0 0
x20MCx1829 5313953.7167676 23365671388.6972 0 33752824184.4524 0 0 0 0 0 0 0 681379004.13165 0 0 0 0 0 76781208.80554008 1409824.45546896 0 0 0 0 0 0 0 0 10269486677.741 0 0 0 0 0
x30MCx2438 0 26526367435.1703 0 89706513682.998 0 0 0 0 1992947891.8893 0 0 10041520604.7617 0 0 0 0 0 712286105.1275481 0 0 0 0 0 0 0 0 0 19514340184.0532 0 0 0 0 0
x14MCx1768 0 27689378756.4038 0 113316454181.888 0 0 0 0 2876800262.69024 0 0 619780355.911891 0 0 0 187615050.870966 0 500704445.012284 0 0 106929734.195822 0 0 0 0 0 0 33240073062.0273 0 0 0 0 0
x20MCx2559 0 21563382416.3061 0 7739505670.61346 0 0 0 0 0 0 0 4771715.51588981 0 0 0 0 0 8784294.47243352 0 0 0 0 0 0 0 0 0 9319919539.09215 0 0 0 0 0
x20MCx2001 0 29883061596.5155 0 34148321193.9452 0 0 0 0 0 0 0 450926758.35527 0 0 0 0 0 412861512.52008504 0 0 0 0 0 0 0 0 0 7303104800.66393 0 0 0 0 0
x14MCx3041 0 108649342113.167 0 83468811613.0496 0 0 0 0 0 0 0 1992622711.6118696 0 0 0 0 0 3153341166.07915 0 0 120268781.276672 0 0 0 0 0 0 30793579716.8155 0 0 0 0 0
x20MCx2531 0 8122688944.16737 0 3583791223.5003796 0 0 0 0 0 0 0 807291105.360311 0 0 0 0 0 397572433.134188 1409831.32317088 0 0 0 0 0 0 0 0 4791257527.51458 0 0 0 0 0
x20MCx3107 0 13248225997.4091 0 130759780205.286 0 0 0 0 1593101290.92468 0 0 1714888407.99128 0 0 0 0 0 1863353735.9202 0 0 82745832.87784399 0 0 0 0 0 0 18879497449.5912 0 0 0 0 0
x30MCx2720 0 13099325912.4075 0 48205571412.7012 0 0 0 0 451035247.164085 0 0 219932551.394269 0 0 0 5964640.200534901 0 506560625.03088206 0 0 0 0 0 0 0 0 0 8390730490.10156 0 0 0 0 0
x10MCx3330 23858555.6957876 31568773312.8227 0 16325867422.7253 0 0 0 0 0 0 0 2478144800.9292803 0 0 0 0 0 392256345.234835 0 0 0 0 0 0 0 0 0 10877766229.5922 0 0 0 0 0
x11MCx2680 0 47843256111.6105 0 44754005667.6808 0 0 0 0 152369475.311422 0 0 2912913955.06391 0 0 0 0 0 371434486.079444 0 0 0 0 0 0 0 0 0 16104748628.2539 0 0 0 0 0
x10MCx3238 0 75936892708.636 0 43011114114.381004 0 0 0 0 1088709133.4832802 0 0 2177526714.93285 0 0 0 434984792.7484259 0 354516401.768787 0 0 7591357.63958859 0 0 0 0 0 0 11940121087.41 0 0 0 0 0
x30MCx2403 0 47698237904.1663 0 31261429416.9303 0 0 0 0 203773740.119794 0 0 2224051017.76303 0 0 0 0 0 4644392865.55098 0 0 0 0 0 0 0 0 0 12445272415.4696 0 0 0 0 0
x10MCx3346 0 28371392195.3023 0 124673058771.643 0 0 0 0 1003902625.45024 0 0 2319593092.3360896 0 0 0 52055013.526641 0 350720653.635744 0 0 11278586.2641055 0 0 0 0 0 0 36131384888.8415 0 0 0 0 0
x20MCx2517 0 53698144120.9475 0 9946852129.4985 0 0 0 0 0 0 0 195206430.801322 0 0 0 0 0 2287385576.92305 8784289.38605951 0 0 0 0 0 0 0 0 20530294119.4435 0 0 0 0 0
x30MCx1597 0 9004333932.75427 0 45205489124.6346 0 0 0 0 1091529718.9316 0 0 149875218.23780102 0 0 0 196724779.944552 0 435744303.096589 0 0 30799248.899808697 0 0 0 0 0 0 14504060374.5007 0 0 0 0 0
x30MCx3301 0 10485977746.1191 0 5993939353.48692 0 0 0 0 0 0 0 786141964.418792 0 0 0 0 0 54115718.0638678 0 0 0 0 0 0 0 0 0 10326884041.9113 0 0 0 0 0
x14MCx2429 0 29702177286.6708 0 79044724639.9583 0 0 0 0 0 0 0 248129067.89700297 0 0 0 0 0 579980006.605408 0 0 0 0 0 0 0 0 0 38538196545.8684 0 0 0 0 0
x30MCx2974 0 6873654887.0355 0 56813986140.0703 0 0 0 0 0 0 0 299099747.222302 0 0 0 20713579.3036474 0 137295242.923653 0 0 0 0 0 0 0 0 0 11792750403.4446 0 0 0 0 0
x30MCx2881 0 78913264131.3238 0 48908850393.4826 0 0 0 0 0 0 0 1208761292.37245 0 0 0 0 0 221233898.837232 0 0 0 0 0 0 0 0 0 27169908632.9839 0 0 0 0 0
x20MCx1157 7157567.65533913 24565422881.0926 0 74380467042.3312 0 0 0 0 1680943919.0569198 0 0 4088380955.13075 0 0 0 13230655.3628996 0 290640626.00468 0 0 6615327.6814498 0 0 0 0 0 0 27938155518.6842 0 0 0 0 0
x20MCx3371 0 22446793959.7487 0 64565304768.0189 0 0 0 0 0 0 0 18219272.1359238 0 0 0 36004752.0781351 0 1386616747.20191 0 0 0 0 0 0 0 0 0 20579318565.8165 0 0 0 0 0
x30MCx1497 0 54587633781.0996 0 25300596595.6877 0 0 0 0 657737212.020926 0 0 926146049.5727472 0 0 0 274048134.340788 0 102483374.337968 0 0 10627905.4869004 0 0 0 0 0 0 6429015235.45334 0 0 0 0 0
x10MCx2003 0 32912013625.3999 0 112887419402.697 0 0 0 0 0 0 0 5363078567.48308 0 0 0 310378154.209786 0 1358853344.6012 48584700.589093104 0 0 0 0 0 0 0 0 26949217660.0202 0 0 0 0 0
x10MCx2779 0 41760978379.874 0 11734084680.7721 0 0 0 0 5639301.32532486 0 0 229476184.699758 0 0 0 0 0 660232047.472649 0 0 0 0 0 0 0 0 0 8804033849.8562 0 0 0 0 0
x10MCx2012 0 41456780363.6846 0 15537684568.478998 0 0 0 0 854137232.146607 0 0 959657233.019975 0 0 0 0 0 344864956.605664 0 0 0 0 0 0 0 0 0 8022448165.06415 0 0 0 0 0
x14MCx3229 0 18202566892.3548 0 103422975542.048 0 0 0 0 0 0 0 1469362265.55602 0 0 0 0 0 282723996.33216697 0 0 0 0 0 0 0 0 0 21554803735.7087 0 0 0 0 0
x13MCx1783 0 65274846890.0292 0 52961227991.0735 0 0 0 0 0 0 0 4382925630.603971 0 0 0 0 0 134800855.099363 5856191.61332709 0 69732059.3957282 0 0 0 0 0 0 18549920727.1849 0 0 0 0 0
x30MCx2598 0 630517611.129951 0 18619139508.4396 0 0 0 0 405596124.118682 0 0 95976622.9532176 0 0 0 19086876.4291144 0 58128214.57957579 0 0 108448.161529059 0 0 0 0 0 0 4393668816.188311 0 0 0 0 0
x10MCx3253 0 2161056897.51923 0 9336455530.90419 0 0 0 0 3361909.1595873 0 0 358314447.202465 0 0 0 0 0 144995888.592523 0 0 0 0 0 0 0 0 0 945455614.622002 0 0 0 0 0
x11MCx1329 7157566.25444618 116102339973.504 0 92978954604.727 0 0 0 0 0 0 0 3996199377.4255705 0 0 0 10736349.381669302 0 276650780.5317 213100268.030102 0 8350493.96352055 0 0 0 0 0 0 23568672748.1822 0 0 0 0 0
x10MCx2627 0 22152790810.162003 0 42107881967.5689 0 0 0 0 0 0 0 1425874909.1746302 0 0 0 3361889.42686442 0 31449933.3480865 0 0 52597302.323524 0 0 0 0 0 0 7513714420.99595 0 0 0 0 0
x13MCx1598 0 14933406895.2655 0 13629752714.9183 0 0 0 0 0 0 0 824639080.5556871 0 0 0 0 0 590716605.96881 0 0 0 0 0 0 0 0 0 21372836054.2917 0 0 0 0 0
x10MCx1155 0 34714096749.7118 0 95234479875.0806 0 0 0 0 782886120.969355 0 0 1256370094.39396 0 0 0 56718304.6498092 0 1290531214.78533 0 0 141524641.621417 0 0 0 0 0 0 13597861083.7877 0 0 0 0 0
x20MCx3352 0 5569891518.40833 0 93824150249.7181 0 0 0 0 3264069215.75261 0 0 463290042.185366 0 0 0 146947099.05458102 0 2216135770.61282 0 0 95325830.309208 0 0 0 0 0 0 13454281182.959 0 0 0 0 0
x30MCx2272 0 10609373100.439 0 33100866673.8422 0 0 0 0 22882557.5666994 0 0 297147903.946713 0 0 0 17351702.420245998 0 65068884.0759225 0 0 0 0 0 0 0 0 0 3778875442.7092 0 0 0 0 0
x13MCx2992 0 66399756880.1172 0 69896444405.2663 0 0 0 0 2076019269.11048 0 0 3065823786.1230397 0 0 0 0 0 1255068223.44542 0 0 0 0 0 0 0 0 0 55512015640.9375 0 0 0 0 0
x20MCx1512 0 40173476444.3942 0 59902661616.6044 0 0 0 0 148682205.49958 0 0 1223184971.42944 0 0 0 0 0 42836959.2796019 0 0 6181535.89604382 0 0 0 0 0 0 11660871003.8967 0 0 0 0 0
x30MCx2314 0 40459001934.2531 0 118912526146.081 0 0 0 0 195531653.288923 0 0 2635285177.43807 0 0 0 244224782.699198 0 1668797049.8114 0 0 0 0 0 0 0 0 0 41251864894.428 0 0 0 0 0
x30MCx2724 0 4426851553.45699 0 42357009275.8429 0 0 0 0 818349383.203979 0 0 5706864509.984489 0 0 0 122329459.879948 0 230343770.199477 0 0 0 0 0 0 0 0 0 4076347285.4321704 0 0 0 0 0
x10MCx2336 0 25923097942.8699 0 20120693158.944 0 0 0 0 98037042.5513808 0 0 295412504.325179 0 0 0 0 0 1436394500.65602 0 0 0 0 0 0 0 0 0 19421962334.6535 0 0 0 0 0
x12MCx1550 14423582.1466634 15917453154.7106 0 89572397194.5287 0 0 0 0 23424764.9900698 0 0 536709083.0363679 0 0 0 380543983.10257 0 1185011143.73376 0 0 9434974.78766701 0 0 0 0 0 0 10701213472.9636 0 0 0 0 0
